gene_name	A	B	C	Gene_Length
AT2G26950	0	0	2	1416
AT1G67140	3436	3184	5476	16562
AT2G39370	0	0	4	1137
AT2G28490	50	0	0	2416
AT5G11510	278	254	349	5070
AT3G44370	884	683	1343	4840
AT4G32330	9130	9175	15857	3374
AT2G31140	1517	1237	2443	1886
AT2G31141	113	23	95	809
AT3G25110	402	420	808	2216
AT4G36820	6	17	4	1190
AT5G59550	493	2213	2847	1535
AT1G22510	302	469	568	2015
AT5G28680	0	0	0	2577
AT4G30790	2430	3076	4625	4700
AT1G68380	0	0	1	1625
AT2G44510	296	119	452	2141
AT4G31441	0	1	0	123
AT4G31440	214	243	370	1140
AT1G24822	99	92	221	2886
AT1G32640	3573	12809	13109	2179
AT4G00870	26	6	36	1523
AT4G20940	799	851	1793	3553
AT2G41740	6892	8335	12842	7026
AT4G36790	612	791	1011	2200
AT3G19210	190	198	286	6194
AT1G73310	403	307	663	2363
AT5G52040	5770	6259	11734	3232
AT5G24850	989	742	1527	2826
AT2G05600	0	0	0	902
AT2G37790	878	915	1791	2169
AT1G68650	725	588	1274	2134
AT5G66660	2	10	12	1197
AT3G61120	5	1	2	2233
AT5G56960	11	17	20	2472
AT1G05930	0	1	0	1516
AT4G09610	0	0	1	876
AT5G07030	814	735	1673	2613
AT5G48850	276	1418	484	2323
AT1G76360	2572	3606	4477	3675
AT1G47915	0	0	0	222
AT2G37420	220	183	370	5016
AT5G14940	921	466	1293	2648
AT3G03190	634	497	879	960
AT2G19090	183	137	360	2702
AT2G35490	11203	12114	21225	1734
AT5G17910	2691	2658	4529	5321
AT1G29420	74	76	143	800
AT1G49510	3060	2654	5313	1741
AT5G60670	4523	2747	8534	684
AT4G33170	98	66	132	2973
AT2G19540	4596	3198	7897	2778
AT1G76090	1145	2033	2953	1373
AT5G51530	96	63	127	4385
AT3G62470	621	643	1126	2075
AT4G22540	3588	4721	6268	5921
AT2G46915	4564	3450	7204	3875
AT2G03760	1422	2765	3268	1327
AT1G69523	1658	1324	2463	1742
AT1G69520	122	76	171	1315
AT3G04610	2193	2279	3969	4321
AT1G62710	469	341	655	3043
AT3G09260	267	486	83	3305
AT1G67540	0	0	0	1241
AT5G67130	1692	1915	3374	2537
AT4G29570	0	7	0	1085
AT1G64010	4	0	2	558
AT5G54865	0	0	0	72
AT2G02490	0	0	1	1244
AT3G05560	15506	9848	29074	1329
AT1G11630	425	343	798	1506
AT2G02498	0	0	1	445
AT5G48890	0	0	0	522
AT5G13340	257	305	653	1508
AT5G55090	12	28	48	1347
AT2G47350	580	621	1023	3459
AT1G27030	419	512	1027	2182
AT2G38950	2453	2559	4317	4367
AT5G39190	74	185	155	991
AT1G16170	864	1481	1954	1090
AT5G53870	363	322	614	1421
AT1G77940	13567	9121	26168	1486
AT5G03160	1333	1332	2545	2697
AT1G11180	1029	1272	1858	2718
AT5G48760	3357	2244	5731	1585
AT1G11185	1	22	23	526
AT5G55320	0	0	0	1020
AT3G30387	0	0	0	348
AT3G30385	0	0	0	348
AT2G42320	3943	4677	7291	2836
AT3G30383	0	0	0	348
AT3G30380	594	777	1028	2506
AT3G09480	98	43	105	608
AT4G37460	5516	5942	8720	7399
AT5G23908	0	0	0	210
AT4G32490	0	0	0	1006
AT4G38630	5324	6094	10636	2411
AT2G27850	0	0	0	72
AT1G10588	0	0	0	703
AT1G10585	103	128	128	1205
AT1G10586	8	0	0	2512
AT1G10580	2437	1835	4256	2457
AT3G28200	3134	2716	5297	1097
AT1G34170	0	0	0	3187
AT4G06701	89	78	126	1115
AT5G12430	3717	3142	5433	6108
AT1G53887	142	164	322	441
AT4G39320	29	41	78	803
AT3G20770	7834	10815	14766	2921
AT2G43630	3447	3276	7043	1714
AT2G02148	381	376	640	2402
AT2G02147	0	0	0	363
AT2G02140	0	0	0	723
AT2G42580	2309	4063	5072	3004
AT4G38980	559	499	854	1484
AT4G18260	447	523	821	3980
AT3G27920	0	0	0	1562
AT4G04700	249	293	606	2711
AT3G27925	11688	12864	21818	2535
AT5G54050	0	0	0	2373
AT2G06645	0	0	0	1657
AT1G08400	435	252	535	2706
AT2G45670	6024	7158	10894	3755
AT1G60660	663	600	1367	601
AT3G17465	1773	1160	3268	1836
AT3G17460	26	47	68	597
AT2G43980	627	562	1105	3392
AT3G62370	948	1029	1822	2524
AT3G16730	357	377	588	3758
AT3G27690	163055	198190	359982	1065
AT4G18197	753	1089	1200	1603
AT4G18195	26	48	51	1422
AT4G18190	0	0	0	1529
AT4G39580	14	42	46	1128
AT5G19700	0	1	6	1527
AT1G66620	107	132	236	1348
AT3G25200	0	0	0	1337
AT5G16970	6073	5845	10574	1908
AT5G43980	139	123	220	1943
AT1G19250	5	3	3	2550
AT4G01280	972	849	1502	2082
AT2G17380	1273	1348	2382	2044
AT5G18255	236	182	407	1980
AT5G18250	309	286	528	1679
AT5G10630	1515	1269	2611	4503
AT3G48840	0	3	1	1350
AT4G15260	428	734	806	1651
AT2G20000	1637	1329	2762	5223
AT1G53935	0	0	0	802
AT2G15420	0	0	0	4236
AT1G53930	0	0	0	477
AT5G09680	1150	1420	2030	1390
AT5G43670	850	1017	1306	3174
AT3G56060	3113	3312	6299	2881
AT1G25300	0	0	0	819
AT5G46000	0	0	0	2058
AT1G66080	233	230	535	941
AT5G47350	6	10	15	1765
AT2G19930	236	208	322	5102
AT4G11010	12453	9005	20786	1782
AT1G33250	1576	1553	2820	2236
AT4G01860	1398	1038	1992	6716
AT4G01865	0	0	0	73
AT3G63020	0	0	0	615
AT5G09350	798	699	1295	7024
AT3G13437	163	203	271	599
AT1G67970	308	622	709	1764
AT5G61500	2351	3079	4528	3069
AT5G49580	1540	1469	2591	2991
AT3G23330	217	158	371	2148
AT1G13110	7589	10121	14042	1814
AT5G35200	2139	2566	3698	3890
AT3G11170	28754	24794	49851	2652
AT5G67490	4	1	3	800
AT4G16790	1172	991	1768	1670
AT1G26140	1	2	2	833
AT2G22530	713	582	1112	4646
AT1G22651	0	0	1	162
AT1G22650	861	999	1519	2610
AT2G21840	8	5	15	2999
AT1G51390	544	597	1018	1751
AT1G28430	0	2	0	1657
AT3G51950	12392	8684	22453	3569
AT4G16240	11	15	20	233
AT1G80500	2181	1890	3745	2140
AT5G02970	1369	1637	2525	2669
AT5G46910	364	644	639	4023
AT5G46915	14	28	46	1633
AT3G57965	185	140	363	1926
AT4G26010	5	1	2	1349
AT3G23590	3109	2113	4700	6179
AT5G42200	83	385	319	766
AT5G42203	0	0	0	96
AT4G12545	0	0	0	660
AT4G24520	4904	6608	9104	4321
AT4G12540	34	32	42	1727
AT1G67020	1	0	5	1980
AT1G67025	0	0	1	1700
AT2G16300	0	0	0	1739
AT3G25990	28	67	66	2111
AT5G40510	12	5	13	1911
AT1G23010	41	50	53	2550
AT3G62810	898	743	1554	717
AT2G41810	6	0	2	1977
AT5G64360	641	827	1242	1597
AT3G27170	753	589	997	3182
AT3G15410	1790	1869	2961	4268
AT1G17340	1908	2682	3455	4892
AT1G17345	2	1	0	788
AT3G10620	2178	1950	3721	1462
AT1G16430	283	189	455	892
AT4G14145	488	528	885	1389
AT2G42170	405	561	846	2679
AT5G01390	671	795	1230	2036
AT1G29740	29	31	42	5619
AT4G34035	0	0	0	73
AT3G46550	2505	1521	3881	1419
AT4G21540	1241	1422	2198	3054
AT3G55950	394	339	609	2705
AT1G51645	39	44	64	2235
AT1G51640	21	15	30	2092
AT5G65740	632	507	910	1979
AT5G62210	55	38	83	1163
AT2G20820	5066	3759	8383	1076
AT2G20825	3	0	1	1112
AT1G50510	858	971	1478	3217
AT1G07960	766	689	1443	1951
AT4G27870	3104	4429	6588	3960
AT5G56670	8339	5337	17529	850
AT3G06270	941	994	1726	1898
AT4G21090	653	546	1111	2123
AT4G12890	0	0	0	1265
AT3G53080	0	0	0	749
AT2G16870	204	162	224	3610
AT2G25370	0	0	0	3095
AT4G25730	4329	2179	7508	4102
AT1G20090	2586	2887	5309	2012
AT4G14490	131	139	206	1482
AT3G47200	1	2	1	1649
AT1G79310	6	13	11	1625
AT3G12660	0	0	0	768
AT1G74140	0	0	0	2876
AT5G54365	0	0	0	73
AT5G38320	0	1	0	820
AT5G37310	1898	1339	3103	3696
AT2G31300	791	769	1439	3859
AT3G61560	404	306	614	1324
AT2G31305	382	412	774	1043
AT3G17100	2958	4879	6898	1167
AT3G44570	2	2	3	1431
AT2G46960	0	0	1	2212
ATCG00080	3	3	6	111
AT1G52600	1265	1124	2252	2209
AT3G53620	1050	1154	2091	3169
AT3G48470	436	369	696	5124
AT1G53542	2	4	8	186
AT5G23890	7316	6844	13254	4513
AT2G25950	858	953	1801	2018
AT3G49780	412	1040	731	698
AT5G39230	2	1	3	452
AT3G55660	53	59	128	2447
AT3G55665	0	0	0	528
AT3G12080	7774	7770	15571	4347
AT1G04680	5243	6036	11566	4356
AT5G28610	9	4	5	488
AT4G26830	77	43	99	1916
AT1G04684	0	0	0	150
AT5G22410	0	0	0	1651
AT4G24060	1008	1109	1755	1865
AT2G24020	9403	9179	18562	1652
AT3G48780	1845	2176	3165	4028
AT5G66460	487	474	738	2642
AT1G21320	1	3	7	2501
AT1G21323	0	0	0	666
AT1G21326	5	53	23	720
AT1G21327	0	0	0	264
AT1G60340	0	1	0	1666
AT3G18900	26	16	62	3839
ATMG01340	0	0	0	73
ATCG00620	0	0	0	74
AT1G04530	9119	7303	15896	1859
AT5G57580	2855	4433	5417	3410
AT1G55550	335	349	656	4165
AT1G11600	0	0	0	1771
AT3G62030	67040	58656	123872	2375
AT3G03350	370	238	521	3630
AT5G27070	2	0	0	864
AT4G11970	481	388	771	3241
AT1G48000	9	10	22	2282
AT1G19750	13	19	48	3067
AT1G15470	918	683	1404	2357
AT1G49750	17342	12694	24988	1873
AT1G14700	3336	2926	5218	2457
AT1G59580	1319	1727	2301	2009
AT1G09100	1062	1340	2175	2799
AT5G25990	107	134	205	1273
AT2G30950	99175	110864	190646	2903
AT1G43580	1346	1389	2405	2197
AT1G01470	4182	4861	6962	803
AT1G01471	0	0	0	216
AT5G27620	749	471	1293	3552
AT1G56600	83	363	250	2060
AT2G15740	0	0	0	990
AT3G49430	4197	3616	7629	3496
AT5G63650	59	159	158	2203
AT5G60300	575	602	814	3408
AT4G29370	0	0	0	1137
AT3G46960	1931	1903	3195	7195
AT4G23920	499	453	826	2588
AT5G17360	190	143	262	1284
AT4G11460	214	55	229	2626
AT3G18010	20	27	29	2136
AT1G58180	1266	2441	2086	2063
AT4G22030	5	1	3	3180
AT5G20010	14544	14544	29789	1811
AT3G04360	0	0	0	1307
AT4G27000	5999	5952	11072	3251
AT3G50740	2289	3318	3450	1724
AT3G57530	1997	3811	4557	3038
AT5G44660	829	797	1434	1407
AT5G64170	10502	7754	16044	4281
AT1G31630	0	0	0	1020
AT5G55520	123	108	255	3193
AT1G08120	0	1	7	1047
AT1G74960	10689	10892	19256	4282
AT5G51630	503	529	720	4887
AT2G33210	4819	2543	7833	3825
AT3G59590	0	0	0	1602
AT1G71300	2	6	6	4277
AT2G26370	0	0	0	1650
AT1G06170	25	8	20	1907
AT1G44050	0	1	1	2253
AT3G22230	8162	4805	14317	631
AT1G09810	633	560	1172	3289
AT1G09812	6	4	18	764
AT1G09815	777	809	1396	874
AT3G54700	0	0	0	1646
AT1G34370	2585	4752	5849	2184
AT5G51180	1321	1573	2409	3183
AT3G04945	0	0	0	419
AT3G04943	0	0	0	431
AT3G04940	2617	2896	4892	2595
AT4G32960	707	789	1305	1563
AT4G26350	0	0	0	1463
AT4G04540	24	39	73	2559
AT5G65220	28918	31502	61008	1454
AT4G28130	0	0	0	2772
AT5G45130	2352	2639	4316	2185
AT2G29060	0	0	0	2344
AT1G06790	500	282	781	2216
AT1G68030	52	76	118	1374
AT5G54690	149	119	269	2617
AT2G29065	157	104	204	2141
AT1G80610	398	722	804	3301
ATMG00060	401	372	662	1516
AT5G50580	1919	1980	3551	2272
AT1G07220	663	588	1127	2550
AT3G58240	0	0	0	1298
AT3G19820	9865	13018	24869	2036
AT3G01240	0	0	0	662
AT3G06730	3419	2521	6460	1926
AT3G56370	3897	2558	7350	3883
AT1G30270	884	859	1277	4041
AT1G71870	36	41	94	2440
AT3G09810	1599	1231	2643	2744
AT1G75370	5065	5821	8632	3359
AT2G32620	2	1	3	3581
AT3G28950	793	780	1288	1385
AT3G28956	243	173	353	1545
AT5G57910	164	308	379	1466
AT4G39870	818	897	1500	2572
AT3G28958	12	5	12	827
AT2G38740	2816	2954	4690	1787
AT2G30170	3352	3020	5950	1824
AT1G37130	65773	107995	141715	3412
AT1G25141	103	69	182	705
AT1G69340	2679	2794	4791	4098
AT1G25145	1939	1811	3347	1870
AT2G42870	170	634	526	835
AT2G29930	0	0	0	2203
AT4G30610	1981	1173	3661	4477
AT2G04440	2	0	0	1219
AT1G78510	3930	2963	6141	2133
ATMG01000	58	17	46	345
AT5G49740	25769	23642	40769	3389
AT3G02290	669	806	1234	2601
AT5G48540	1053	826	1553	957
AT1G74420	2	4	15	1910
AT1G73430	2390	2111	4066	7414
AT1G04945	386	199	628	3865
AT1G33720	648	561	773	3104
AT1G72740	1497	1674	2781	2631
AT5G11490	3742	3790	6715	4665
AT4G20590	0	1	1	2349
AT2G36630	2959	2161	5007	2687
AT5G15930	814	836	1614	2742
AT2G36632	0	0	0	117
AT3G02120	82	90	237	617
AT3G02125	4	0	1	1408
AT5G67030	52965	53530	89180	3727
AT1G22490	56	292	168	2342
AT5G14040	19625	11345	32440	2428
AT1G28630	0	1	0	4997
AT5G17890	2693	1962	4128	6386
AT5G11720	3860	4599	6629	3333
AT4G32105	0	0	0	868
AT4G32100	0	0	0	462
AT2G18530	0	0	0	1111
AT2G47960	2041	2263	3425	3570
AT4G36610	0	0	0	1925
AT5G66140	1743	1709	3182	1595
AT1G28180	0	0	0	1928
AT5G17760	234	208	353	2002
AT5G40350	0	0	0	2591
AT1G62690	6	5	10	949
AT2G44700	56	103	133	1107
AT3G09380	0	0	0	979
AT4G00890	113	95	175	1391
AT4G18830	275	236	369	1408
AT1G64930	4	2	6	1536
AT4G23020	788	706	1431	2366
AT3G60961	510	395	723	11211
AT3G60960	534	291	860	2930
AT2G40460	2737	2083	4096	4374
AT3G03650	3	0	3	2278
AT3G07570	650	608	1230	2248
AT1G17100	3352	1641	4064	986
AT2G46700	784	883	1534	3855
AT3G09035	785	811	1742	1528
AT3G04000	202	279	408	1173
AT3G09030	650	954	1217	1726
AT1G12550	344	361	672	1388
AT3G09032	19	15	25	663
AT1G62520	224	162	435	1098
AT4G37050	3	3	3	2636
AT1G26558	55	44	84	1946
AT1G29580	0	0	0	704
AT2G02840	0	0	0	1306
AT1G26550	5678	5718	11721	1811
AT2G19660	2	17	15	1989
AT1G76110	4149	4496	6683	2545
AT5G64260	1047	4182	3049	1388
AT5G01970	442	497	758	2050
AT4G03380	19	41	67	5180
AT5G02400	232	202	347	2336
AT5G06980	5348	4393	9805	1881
AT1G69295	2024	1781	3979	2371
AT5G65540	931	965	1626	2634
AT3G23900	2625	2840	4804	4440
AT1G35181	0	0	0	165
AT1G35180	556	583	1219	1613
AT1G35183	0	0	0	153
AT1G57400	0	0	0	37
AT3G08920	4744	5074	9719	1034
AT3G60340	2884	3559	5200	2354
AT4G27550	0	0	0	4092
AT3G52110	236	259	445	1897
AT3G52115	134	131	265	1991
AT4G13920	0	0	0	2757
AT1G64200	1028	2100	2710	1477
AT2G12170	109	69	174	1345
AT5G44306	0	0	0	174
AT2G01400	214	243	373	1347
AT5G44300	0	0	0	1032
AT1G27200	868	1460	1986	2202
AT5G47960	24	36	63	1150
AT1G20250	0	0	0	73
AT4G38280	955	1049	1924	1568
AT4G34500	318	567	708	3201
AT1G10950	7469	7241	13295	4776
AT1G71460	788	771	1556	2333
AT5G39280	0	0	0	994
AT4G15802	3585	3223	7031	1838
AT2G43860	0	0	0	1484
AT3G17340	2229	2033	3470	6451
AT2G43865	2	0	0	460
AT3G13845	382	343	748	1259
AT3G61763	0	0	0	96
AT3G13840	2	3	1	1533
AT3G54770	2	1	2	2183
AT3G21410	0	0	0	1233
AT1G11390	1092	746	1620	3171
AT2G07727	143	36	68	1467
AT2G07725	37	26	54	746
AT2G07724	0	1	2	324
AT2G07722	16	15	29	420
AT2G07721	1	2	8	513
AT5G04800	6249	3971	10584	1365
AT5G38650	1834	1919	3253	1855
AT2G07728	27	18	44	2442
AT5G19000	1635	1956	3114	2455
ATMG00900	18	6	12	771
AT5G18350	3	1	3	4501
AT3G17690	32	24	63	3487
AT5G03460	1202	1653	2282	1398
AT5G15581	0	0	0	872
AT5G15580	793	1295	1679	4192
AT4G38860	7959	3567	14002	793
AT3G55460	3076	3632	6340	2955
AT1G61180	1109	1420	1932	3305
AT5G42460	270	309	471	1343
AT2G21250	5554	6003	10455	1981
AT2G14635	0	0	0	467
AT1G21120	150	190	367	1546
AT5G23700	28	22	8	3633
AT5G37550	124	46	168	968
AT1G07540	0	1	2	2616
AT1G60580	0	0	0	71
AT5G24735	1342	1879	2478	932
AT1G50990	0	0	1	2275
AT5G15050	1730	1583	3266	1960
AT3G13445	1632	1449	2694	2432
AT2G18980	11	2	31	1982
AT3G62230	0	0	0	1598
AT4G18010	1825	1305	3297	3409
ATCG01110	169	24	70	1182
AT3G27710	5	5	10	1860
AT4G35360	1866	1893	3129	2630
AT4G01120	501	710	912	2887
AT2G45420	17	6	32	2382
AT1G08230	386	420	621	3091
AT1G19190	6	12	13	1102
AT1G15670	89	302	297	1539
AT4G00290	1250	1071	1915	2741
AT4G10570	1323	1081	2068	4919
AT5G49260	0	0	0	729
AT3G16565	91	124	148	2899
AT3G16560	1670	2180	3078	2887
AT5G04110	950	1019	1558	4422
AT5G19910	409	485	764	1755
AT1G13630	182	86	264	3043
AT1G13635	17	2	9	1605
AT3G25410	3864	3090	6708	2152
AT3G11690	995	1449	1613	1491
AT3G29740	0	0	0	380
AT1G53870	2779	2747	3914	860
AT3G22290	1514	1554	2613	4019
AT2G15580	3233	3053	5602	1302
AT3G49230	0	1	0	1254
AT4G00740	3022	2544	4787	3052
AT5G08100	700	811	1345	1602
AT5G25460	21420	22793	43490	2315
AT5G01560	1207	1557	1918	2393
AT4G11190	2	5	0	707
AT3G63180	1494	1352	2430	4145
AT2G20618	0	0	0	246
AT2G20619	0	0	0	201
AT4G15430	491	292	689	3629
AT4G27240	490	510	955	1830
AT5G47840	9201	9142	16473	2899
AT2G20616	0	0	0	1190
AT2G20610	9952	7569	14783	2429
AT2G20613	0	0	0	408
AT2G23093	248	159	420	2617
AT2G23090	10148	9705	18933	961
AT2G23096	3	3	3	1470
AT2G01180	429	757	1111	1904
AT5G41470	42	45	69	1616
AT5G41471	2	0	0	110
AT1G52830	135	171	183	1149
AT3G09790	11	13	27	2331
AT1G03320	7	12	28	741
AT5G47140	865	671	1167	2855
AT3G11030	394	542	857	2154
AT5G01690	0	0	0	2936
AT1G13090	4648	5086	8254	1738
AT3G22870	0	0	0	1242
AT1G12940	6	1	6	2186
AT1G24080	0	0	0	74
AT3G26147	0	0	0	168
AT3G26140	0	0	1	3389
AT4G25080	41378	42390	80694	1700
AT2G11462	0	0	0	644
AT3G18310	522	371	896	2789
AT4G21970	19	40	51	757
AT3G24430	15062	14016	27045	3619
AT3G49900	204	165	540	2151
AT3G10120	164	202	448	820
AT5G06510	45	58	97	2054
AT4G16160	4	2	0	1419
AT4G16162	8	16	30	2332
AT4G16165	0	0	0	554
AT1G55820	537	403	832	3273
AT4G26190	4310	3730	7587	4731
AT2G27340	420	330	715	2488
AT1G51560	1767	1567	2726	2304
AT4G28330	40	20	39	601
AT2G33110	184	195	322	2321
AT3G47500	10235	6345	18672	2059
AT2G24600	644	1399	1458	2409
AT1G80310	1952	3699	4066	1937
AT1G23190	7294	5505	11500	4601
AT3G50230	0	0	0	2602
AT4G21350	399	592	1052	1125
AT1G54880	0	0	0	521
AT4G28480	1823	1987	3495	2230
AT4G28485	9	5	9	777
AT5G26340	1184	2897	2146	3556
AT3G56170	553	759	1091	2332
AT3G10780	0	0	0	1228
AT2G26760	175	166	420	2099
AT4G13265	0	0	0	81
AT1G23220	942	944	1830	1981
AT4G13261	0	0	0	450
AT4G13260	214	141	470	2372
AT4G13263	0	0	0	557
AT3G13470	19313	11882	38183	3546
AT3G12780	147101	133825	272948	2336
AT2G30770	71	75	153	2218
AT3G10870	374	295	730	1595
AT2G34460	10990	10360	20648	1351
AT5G05590	960	929	1738	1882
AT3G13784	0	0	0	2141
AT3G13780	245	299	472	1143
AT1G53050	2312	2420	4182	3703
AT5G03870	52	60	85	1310
AT5G07390	0	0	0	4019
AT5G62000	19711	21792	34316	4853
AT4G13480	0	0	1	1010
AT2G25230	0	3	2	1257
AT3G43500	0	0	0	462
AT1G41880	10772	7453	23342	1516
AT4G31100	19	13	15	2751
AT2G28605	3354	3328	7024	950
AT3G43505	0	0	0	387
AT5G61160	151	53	23	1581
AT1G79290	0	0	0	72
AT1G20750	0	0	0	5697
AT1G73630	945	471	1402	718
AT3G48620	5	2	6	1828
AT5G56360	3076	2909	5849	4724
AT4G15885	0	0	0	528
AT5G56880	7	15	3	612
AT1G72580	0	0	0	696
AT4G15880	1486	1300	2509	3472
AT3G61240	3458	2717	5853	3575
AT5G58950	10196	8579	16947	2746
AT1G56100	0	0	0	3611
AT4G25500	2593	4154	5951	2870
AT2G41130	125	144	249	1656
AT3G02720	5046	4749	8794	2142
AT4G14280	0	0	0	2668
AT1G73180	1951	1302	3097	3734
AT5G38510	7519	5840	11274	2874
AT3G12430	0	0	0	798
AT5G57280	987	428	1711	2199
AT1G79120	47	48	74	4701
AT1G05560	865	967	1895	1650
AT1G05562	48	21	55	1288
AT1G69770	1430	1368	2253	5268
AT1G78450	338	459	420	945
AT4G09464	0	0	0	538
AT4G09465	0	0	0	411
AT4G09466	0	0	0	536
AT4G09467	0	0	0	538
AT4G09460	508	1491	1480	1293
AT4G09462	0	0	0	464
AT4G26970	14480	10871	22982	5712
AT2G24180	2125	2453	3769	1889
AT5G10030	1340	1300	2061	2930
AT4G36450	17	47	31	1169
AT3G45210	1787	523	1937	698
AT5G66780	16	1	0	831
AT1G43624	0	0	0	105
AT1G48635	1116	820	1684	2384
AT1G43620	1803	2018	3099	4789
AT1G48630	6925	2968	12404	1555
AT3G49570	107	646	439	492
AT5G60220	20	6	22	1109
AT1G78980	0	0	0	3735
AT5G24470	310	1625	1000	2923
AT1G55450	2588	6984	5627	1814
AT3G58460	1340	1386	2381	3500
AT5G60408	0	0	0	206
AT5G57420	1	0	0	967
AT5G60400	957	1195	2429	793
AT1G59171	0	2	2	1525
AT4G23220	1259	1571	1978	3136
AT2G40660	2182	1659	3707	3103
AT3G03090	1094	904	1937	4314
AT3G07770	6413	4514	10471	4647
AT1G56810	0	0	0	37
AT3G09630	22276	13267	39962	1971
AT1G02510	0	0	0	1171
AT5G50810	1475	923	2758	979
AT3G05730	9651	6060	23099	733
AT1G63630	5	1	2	923
AT1G75910	1	0	2	1850
AT2G32040	2910	2545	5152	2731
AT3G56940	250459	266635	517353	1939
AT4G08730	0	0	0	1390
AT1G10180	1374	1135	2234	3306
AT3G51620	1438	1442	2395	4405
AT3G20120	675	601	1050	2555
AT1G59790	0	0	0	1882
AT5G52550	0	0	0	2425
AT5G52552	0	0	0	2425
AT1G76460	1306	1918	2384	2941
AT1G58220	1122	1309	1957	4723
AT1G58225	726	792	824	1061
AT2G46540	1483	1219	2843	1298
AT5G27130	0	1	0	1007
AT1G49270	2	0	0	2894
AT5G44140	0	4	12	1139
AT3G05193	0	0	0	153
AT2G37170	14450	12780	25858	1456
AT3G05190	164	122	274	4388
AT2G03250	0	0	0	4490
AT5G13710	4753	5412	9680	3364
AT4G28811	3	0	0	2864
AT4G28815	2	1	3	1570
AT1G30845	160	138	225	1043
AT5G65925	99	130	224	707
AT5G45810	11	5	5	1452
AT1G54410	47237	61608	96114	993
AT1G30840	265	158	363	1590
AT1G68910	1837	2279	3414	2978
AT3G59415	0	0	0	71
AT5G20200	1979	1540	3453	5104
AT3G59410	2271	2100	3312	9079
AT4G05020	1111	713	1358	3975
AT5G21150	0	0	1	6086
AT3G21650	1107	1322	1889	2508
AT5G48335	1119	1196	2165	1614
AT3G57700	0	0	0	1023
AT1G31460	94	118	203	1824
AT5G44490	367	176	520	1809
AT4G33240	4391	4771	7619	8383
AT1G30590	3169	2209	4849	4212
AT1G71110	175	114	377	2922
AT5G54240	32	41	63	1484
AT3G54120	134	136	311	1215
AT1G07070	1190	556	2104	1288
AT5G53730	335	338	680	837
AT2G44950	1907	2109	3217	6379
AT3G21380	17	1	1	2494
AT5G48060	216	199	406	3707
AT5G51390	105	540	556	498
AT5G12043	0	0	0	135
AT5G12040	3414	2915	5724	3010
AT1G64340	0	0	3	2949
AT5G15210	1257	720	2142	1429
AT4G33860	0	1	1	2387
AT4G33865	6738	5992	15708	988
AT2G37820	2	3	3	999
AT1G30330	2627	2162	3810	5017
AT1G47710	1380	1360	2500	2061
AT4G18980	6	17	8	595
AT2G05210	1038	864	1868	3427
AT1G34650	0	0	0	4840
AT1G24420	4	0	3	1311
AT3G57470	3819	3396	6442	6753
AT4G35160	4	2	1	2052
AT5G49460	3368	4243	7253	3942
AT1G61960	371	252	620	1688
AT5G36910	4040	2952	5785	934
AT1G26370	1334	1043	1942	4066
AT4G04080	0	0	0	1066
AT5G10990	20	8	47	866
AT3G16960	0	0	0	453
AT1G22860	966	971	1598	5837
AT1G33020	0	0	0	2087
AT1G04220	458	319	636	2828
ATMG00560	595	524	970	2602
AT2G45150	757	494	1151	2413
AT2G35080	0	0	0	2204
AT5G50040	0	0	0	982
AT1G14830	3812	4126	6789	4250
AT5G35460	3715	3840	6447	2201
AT5G55505	0	0	0	73
AT3G15130	75	85	145	2070
AT2G35550	39	65	57	1572
AT3G29230	2686	1468	4860	1803
AT2G39460	17803	12295	33686	1186
AT2G28160	42	35	81	1415
AT5G11027	0	0	0	117
AT5G11020	432	335	662	2993
AT5G56520	300	392	659	1350
AT1G22280	1580	2725	3024	1965
AT5G10370	1076	1301	1906	6100
AT1G33680	3225	3547	5874	4754
AT1G27420	99	66	176	1413
AT4G35837	0	0	0	165
AT1G25480	662	762	1048	2412
AT1G32375	1	6	6	1450
AT1G32370	453	373	651	1488
AT4G00500	693	607	1139	2369
AT4G20250	0	0	0	2539
AT1G22130	0	8	1	1878
AT4G17360	1093	813	1497	1922
AT1G35680	31631	31128	68968	1683
AT5G47430	2274	2366	3996	5591
AT5G47435	2600	2553	4435	2286
AT2G12280	0	6	5	398
AT1G12260	68	89	169	3021
AT3G61660	0	0	1	390
AT1G33970	2492	3790	5152	1741
AT5G43320	6611	7073	10975	3661
AT5G51800	0	0	0	3822
AT1G62225	0	0	0	792
AT1G62220	0	0	0	649
AT1G32080	39556	35335	72242	2459
AT4G09100	0	0	0	399
AT4G03260	12036	8054	17462	3493
AT5G35580	22	7	16	1980
AT3G47740	0	1	0	4315
AT1G17710	12	24	29	1468
AT3G24140	1741	1436	3285	2976
AT4G19350	993	918	1636	1735
AT5G18960	1891	1971	3454	2693
AT1G24996	0	0	0	891
AT2G18700	5325	27002	11713	2968
AT1G77470	676	637	1250	2488
AT1G29952	0	0	0	2624
AT1G29951	0	0	0	2624
AT1G29950	219	183	393	2901
AT5G07990	203	124	299	2716
AT1G28390	53	55	122	2116
AT1G28395	658	368	1250	1923
AT5G55770	0	0	0	2088
AT1G67470	295	380	677	1395
AT4G37150	220	135	226	1232
AT1G12294	0	0	0	168
AT1G50760	0	0	0	314
AT1G12290	218	156	279	2889
AT5G28235	0	0	0	2065
AT5G28237	23	89	19	6246
AT1G23420	0	0	0	2088
AT3G15840	21081	24195	37345	1863
AT1G35537	0	0	0	365
